2|2|MT|B33|PUREGOLD|D01204|NORTH LUZON|DA0002|DIRECT ACCOUNT - NO DISTRIBUTOR|TCR286|PUREGOLD PC - TUGUEGARAO|B33A1|PG|0|0.0|0.0|0.0
SHAMPOO|OSA - PUREGOLD|TRESEMME SH KERATIN SMTH 24X170ML|CONDITIONAL|AVAILABLE ON SHELF|1|0|1
SHAMPOO|PLACE- SHELF STANDARD|IF CORPORATE BLOCKING|CONDITIONAL||0|0|0
SHAMPOO|PLACE- SHELF STANDARD|ADD PHOTO|IMAGE CAPTURE||0|0|0
SHAMPOO|PROPOSITION|TOTAL HAIR PUSHGIRL|SINGLE ITEM SELECT||0|0|0
SHAMPOO|PROPOSITION|SHELF STRIP WITH CALL-TO-ACTION|SINGLE ITEM SELECT||0|0|0
SHAMPOO|PROPOSITION|REMARKS|SINGLE ITEM SELECT||0|0|0
SHAMPOO|PROPOSITION|ADD PHOTO|IMAGE CAPTURE||0|0|0
SHAMPOO|NOTES|NOTED AND ACKNOWLEDGING OOS:|LABEL||0|0|0
SHAMPOO|NOTES|NAME OF DIZER/FMS|SINGLE-LINE TEXT||0|0|0
SHAMPOO|NOTES|SIGNATURE OF DIZER/FMS|SIGNATURE CAPTURE||0|0|0
SHAMPOO|OTHER BRANCH CONCERNS|SHAMPOO CATEGORY CONCERNS|MULTI-LINE TEXT||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK|LABEL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO STANDOUT STRAIGHT 288X12ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO HF DEFNS STRB GRN 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO DAMAGE CONTROL 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO DANDRUFF-FREE 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO STANDOUT STRAIGHT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK RO DRY RESCUE 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO STUNNING SHINE 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO STANDOUT STRAIGHT 12X350ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC STANDOUT STRAIGHT 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO HF DEFNS STRB GRN 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO HAIR FALL DEFENSE 12X350ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC STANDOUT STRAIGHT4X6X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO STANDOUT STRAIGHT 36X90ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO DAMAGE CONTROL 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK RO DRY RESCUE 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO BRILLIANT BLACK 288X11ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC DAMAGE CONTROL 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC HAIR FALL DEFENSE 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC DRY RESCUE 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAM SILK RO HF DEFNS STRB GRN 36X90ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|CREAMSILK DTC HAIR FALL DEFENSE4X6X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE|LABEL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC INTENSE REPAIR BLUE 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC STRAIGHT&SILKY PINK 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC NRSHNG OIL CARE GLD 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC INTENSE REPAIR BLUE TOT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC HAIR FALL PLUS GRN 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC OXYGEN&NOURISHMENT 288X10ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC NRSHNG OIL CARE GLD TOT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC STRAIGHT&SILKY PINK TOT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC OXYGEN&NOURISHMENT TOT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|OSA - PUREGOLD|DOVE HC HAIR FALL PLUS GRN TOT 24X180ML|CONDITIONAL||0|0|0
CONDITIONER|PLACE- SHELF STANDARD|IF CORPORATE BLOCKING|CONDITIONAL||0|0|0
CONDITIONER|PLACE- SHELF STANDARD|ADD PHOTO|IMAGE CAPTURE||0|0|0
CONDITIONER|PROPOSITION|TOTAL HAIR PUSHGIRL|SINGLE ITEM SELECT||0|0|0
CONDITIONER|PROPOSITION|SHELF STRIP WITH CALL-TO-ACTION|SINGLE ITEM SELECT||0|0|0
CONDITIONER|PROPOSITION|REMARKS|SINGLE ITEM SELECT||0|0|0
CONDITIONER|PROPOSITION|ADD PHOTO|IMAGE CAPTURE||0|0|0
CONDITIONER|NOTES|NOTED AND ACKNOWLEDGING OOS:|LABEL||0|0|0
CONDITIONER|NOTES|NAME OF DIZER/FMS|SINGLE-LINE TEXT||0|0|0
CONDITIONER|NOTES|SIGNATURE OF DIZER/FMS|SIGNATURE CAPTURE||0|0|0
CONDITIONER|OTHER BRANCH CONCERNS|CONDITIONER CATEGORY CONCERNS|MULTI-LINE TEXT||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|TOTAL MEASUREMENT IN INCHES|LABEL||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|ULP BRANDS|LABEL||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|TOTAL ULP|COMPUTATIONAL||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|HAIR CARE SOS|LABEL||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|TOTAL CATEGORY|COMPUTATIONAL||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|REMARKS|SINGLE ITEM SELECT||0|0|0
HAIR CARE|PLACE- SHARE OF SHELVES|ADD PHOTO|IMAGE CAPTURE||0|0|0
HAIR CARE|OTHER BRANCH CONCERNS|HAIR CARE CATEGORY CONCERNS|MULTI-LINE TEXT||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS|LABEL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FCLMST CLR MNG WB CRM PINK 288X7G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FWASH CLEAR SOL AB SCRUB 288X5G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS WB DTX ACNE PRONE DCRM 288X6G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS WHT BTY PNKSH WHT DAY CRM 4X6X40G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FCLMST CLR MNG WB CRM PINK 144X11G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FCLCLNSR OTH ESS WB TNR 24X100ML|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS CS ACNE CLEAR WHITE FF 24X100G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS AM CELL REGEN DAY CRM JAR 12X3X10G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS MEN FW ENERGY WHITENING 24X100G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS WB DTX ACNE PRONE DCRM 12X12X10G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FW WHTNING EXP BB CRM LIGHT4X3X25G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FLAWLESS DEWY ROSE GEL 12X3X10G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS FW ACNE WHITE 144X8G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|PONDS CS ACNE CLEAR WHITE FF 24X50G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|MASTER|LABEL||0|0|0
FACE CARE|OSA - PUREGOLD|MASTER FW OIL CONTROL MAX 24X100G|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|MASTER CLEANSER OIL CONTROL 144X70ML|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|ESKINOL|LABEL||0|0|0
FACE CARE|OSA - PUREGOLD|ESKINOL CLSR PAPAYA SMTH WHTE 144X75ML|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|ESKINOL CLSR PIMPLEFIGHT DCC 144X75ML|CONDITIONAL||0|0|0
FACE CARE|OSA - PUREGOLD|ESKINOL CLSR CLASSIC WHITE 144X75ML|CONDITIONAL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|TOTAL MEASUREMENT IN INCHES|LABEL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|ULP BRANDS|LABEL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|TOTAL ULP|COMPUTATIONAL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|FACE CARE SOS|LABEL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|TOTAL CATEGORY|COMPUTATIONAL||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|REMARKS|SINGLE ITEM SELECT||0|0|0
FACE CARE|PLACE- SHARE OF SHELVES|ADD PHOTO|IMAGE CAPTURE||0|0|0
FACE CARE|PLACE- SHELF STANDARD|SEGMENTATION OF MALE AND FEMALE|SINGLE ITEM SELECT||0|0|0
FACE CARE|PLACE- SHELF STANDARD|MINIMUM 50% WHITENING OF POND'S WOMEN|SINGLE ITEM SELECT||0|0|0
FACE CARE|PLACE- SHELF STANDARD|WHITENING ACTUAL PERCENTAGE|NUMERIC||0|0|0
FACE CARE|PLACE- SHELF STANDARD|ADD PHOTO|IMAGE CAPTURE||0|0|0
FACE CARE|PROPOSITION|SHELF STRIP WITH CALL-TO-ACTION|SINGLE ITEM SELECT||0|0|0
FACE CARE|PROPOSITION|REMARKS|SINGLE ITEM SELECT||0|0|0
FACE CARE|PROPOSITION|ADD PHOTO|IMAGE CAPTURE||0|0|0
